campaign_name,dir_path
Kampania Nieśmiertelny,C:\Users\mikol\Desktop\Studia\Python\Python_Project_App\UserData\Kampania Nieśmiertelny
Kampania Drużyna Pierścieni,C:\Users\mikol\Desktop\Studia\Python\Python_Project_App\UserData\Kampania Drużyna Pierścieni
